,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
85,85.0,1.0,1.0,142.0,475.0,0.01,4.0,400.0,85.82899037095542
86,86.0,1.0,1.0,142.0,475.0,0.01,4.0,600.0,85.83825482717758
87,87.0,1.0,1.0,142.0,475.0,0.01,4.0,800.0,85.75935290839892
91,91.0,1.0,1.0,142.0,475.0,0.01,5.0,800.0,85.74140054217965
93,93.0,1.0,1.0,142.0,475.0,0.01,6.0,400.0,85.83762791750533
94,94.0,1.0,1.0,142.0,475.0,0.01,6.0,600.0,85.86605875208235
95,95.0,1.0,1.0,142.0,475.0,0.01,6.0,800.0,85.72509183943052
116,116.0,1.0,1.0,142.0,475.0,0.03,6.0,200.0,85.80367118498673
132,132.0,1.0,1.0,142.0,475.0,0.05,4.0,200.0,85.78641909399404
136,136.0,1.0,1.0,142.0,475.0,0.05,5.0,200.0,85.7964316906155
223,223.0,1.0,1.0,356.0,475.0,0.005,2.0,800.0,77.32850424080294
246,246.0,1.0,1.0,356.0,475.0,0.007,2.0,600.0,77.17769681713975
247,247.0,1.0,1.0,356.0,475.0,0.007,2.0,800.0,76.99054468061563
270,270.0,1.0,1.0,356.0,475.0,0.01,2.0,600.0,77.0365240260558
271,271.0,1.0,1.0,356.0,475.0,0.01,2.0,800.0,77.11279313522675
290,290.0,1.0,1.0,356.0,475.0,0.03,1.0,600.0,77.24030702580166
292,292.0,1.0,1.0,356.0,475.0,0.03,2.0,200.0,77.00697313756503
313,313.0,1.0,1.0,356.0,475.0,0.05,1.0,400.0,77.2262587861593
336,336.0,1.0,1.0,356.0,475.0,0.07,1.0,200.0,77.1901409333747
360,360.0,1.0,1.0,356.0,475.0,0.1,1.0,200.0,76.95788000092668
439,439.0,1.0,1.0,712.0,475.0,0.007,2.0,800.0,74.59894136745599
443,443.0,1.0,1.0,712.0,475.0,0.007,3.0,800.0,74.88166770955414
450,450.0,1.0,1.0,712.0,475.0,0.007,5.0,600.0,74.74679387647105
461,461.0,1.0,1.0,712.0,475.0,0.01,2.0,400.0,74.87602998809433
462,462.0,1.0,1.0,712.0,475.0,0.01,2.0,600.0,74.58012968493932
482,482.0,1.0,1.0,712.0,475.0,0.03,1.0,600.0,74.77776113340092
483,483.0,1.0,1.0,712.0,475.0,0.03,1.0,800.0,74.84208401273942
484,484.0,1.0,1.0,712.0,475.0,0.03,2.0,200.0,74.62932292101499
505,505.0,1.0,1.0,712.0,475.0,0.05,1.0,400.0,74.66868969049642
506,506.0,1.0,1.0,712.0,475.0,0.05,1.0,600.0,74.82569919412633
619,619.0,1.0,1.0,1068.0,475.0,0.005,5.0,800.0,71.61455849096534
623,623.0,1.0,1.0,1068.0,475.0,0.005,6.0,800.0,72.08872664290003
642,642.0,1.0,1.0,1068.0,475.0,0.007,5.0,600.0,71.59357679969284
643,643.0,1.0,1.0,1068.0,475.0,0.007,5.0,800.0,71.68047624544242
646,646.0,1.0,1.0,1068.0,475.0,0.007,6.0,600.0,72.05948322321811
647,647.0,1.0,1.0,1068.0,475.0,0.007,6.0,800.0,72.03756714156974
665,665.0,1.0,1.0,1068.0,475.0,0.01,5.0,400.0,71.7255541015049
666,666.0,1.0,1.0,1068.0,475.0,0.01,5.0,600.0,71.91390607766971
670,670.0,1.0,1.0,1068.0,475.0,0.01,6.0,600.0,72.12987036892805
688,688.0,1.0,1.0,1068.0,475.0,0.03,5.0,200.0,71.73082346083478
811,811.0,1.0,1.0,1410.0,475.0,0.005,5.0,800.0,70.28936305721824
815,815.0,1.0,1.0,1410.0,475.0,0.005,6.0,800.0,70.31114634098581
834,834.0,1.0,1.0,1410.0,475.0,0.007,5.0,600.0,70.22642389944869
835,835.0,1.0,1.0,1410.0,475.0,0.007,5.0,800.0,70.4347775824149
838,838.0,1.0,1.0,1410.0,475.0,0.007,6.0,600.0,70.2508419168333
839,839.0,1.0,1.0,1410.0,475.0,0.007,6.0,800.0,70.49662282269688
857,857.0,1.0,1.0,1410.0,475.0,0.01,5.0,400.0,70.39182254230394
858,858.0,1.0,1.0,1410.0,475.0,0.01,5.0,600.0,70.5548928220548
861,861.0,1.0,1.0,1410.0,475.0,0.01,6.0,400.0,70.38817023105045
880,880.0,1.0,1.0,1410.0,475.0,0.03,5.0,200.0,70.16356426678215
